Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA
184.53208923339844,367.380615234375,248.4199981689453,187.31538170646215,372.3632885983454,251.25,182.79253333369908,363.319184585885,244.41000366210938,186.03307200647276,370.3424737462839,250.0800018310547,82488700,25258600,104654200
183.150390625,367.1131591796875,238.4499969482422,184.77066759112085,369.7481357898977,245.67999267578125,182.3352771284137,365.04282689247566,236.32000732421875,183.1205708792931,365.5381225658885,244.97999572753906,58414500,23083500,121082600
180.82435607910156,364.4781799316406,237.92999267578125,181.99730650228184,369.5896348719219,242.6999969482422,179.80050438167336,363.71543548306664,237.72999572753906,181.06291404030495,367.1825051718643,239.25,71983600,20901500,102629300
180.09869384765625,364.28997802734375,237.49000549316406,181.6692660827433,368.559424433647,240.1199951171875,179.09472708075188,363.0517388090319,234.89999389648438,180.90387243418792,365.4985007136341,236.86000061035156,62303300,20987000,92379400
184.4525604248047,371.1646728515625,240.4499969482422,184.49233019548157,371.66988411040546,241.25,180.41679326133186,365.53812127674354,235.3000030517578,181.0032684531674,365.8253710003868,236.13999938964844,59144500,23134000,85166600
184.0350799560547,372.25433349609375,234.9600067138672,184.04501481546237,372.4524336286839,238.9600067138672,181.63945924679223,367.6976072202341,232.0399932861328,182.8223597284498,368.509899386066,238.11000061035156,42841800,20830000,96705700
185.07882690429688,379.16864013671875,233.94000244140625,185.28756513758637,380.5554922110054,235.5,182.822369939337,372.7793440678221,231.2899932861328,183.2498116013288,372.8288615431399,235.10000610351562,46792900,25514200,91628500
184.4823760986328,381.0111389160156,227.22000122070312,185.93366934185158,387.0042042259602,230.92999267578125,182.524132048394,376.80112586493703,225.3699951171875,185.42670336710847,382.3682441685505,230.57000732421875,49128400,27850800,105873600
184.8104248046875,384.8150329589844,218.88999938964844,185.62553831277884,385.0230486833725,225.33999633789062,184.08478570270393,381.03096664819185,217.14999389648438,184.94958867585868,381.8630597761942,220.0800018310547,40444700,21645700,122889000
182.53407287597656,386.59808349609375,219.91000366210938,183.16030262539027,390.32271672497956,223.49000549316406,179.85017475552078,383.9730224089054,212.17999267578125,181.07284484780743,389.9562027545636,215.10000610351562,65603000,27202300,115355000
181.5897674560547,385.8056335449219,215.5500030517578,181.83827546833925,386.4395963207224,215.6699981689453,179.22398149315907,381.1894739959276,212.00999450683594,180.18819379424113,384.32966203351646,214.86000061035156,47317400,22234100,103164400
187.50424194335938,390.1642150878906,211.8800048828125,188.01119275141858,390.2830812145117,217.4499969482422,184.72094959289208,386.4494974787357,208.74000549316406,184.979392426226,388.0344497047316,216.8800048828125,78005800,23392100,108595400
190.416748046875,394.9190979003906,212.19000244140625,190.80441988057507,394.9190979003906,213.19000244140625,187.69311035236996,389.797726916255,207.55999755859375,188.2000611602168,392.0364732172694,209.99000549316406,68741000,29272000,102095800
192.73284912109375,392.7793884277344,208.8000030517578,194.16425751836653,396.85070439221124,217.8000030517578,191.11257223144145,389.8868483654438,206.27000427246094,191.15234200232317,396.25634353223927,212.25999450683594,60133900,27016900,117952500
194.01515197753906,395.14691162109375,209.13999938964844,194.58175747905844,395.6224063859319,215.64999389648438,192.67321792314553,390.2236710516202,207.75,193.8561183903394,392.02655469237413,211.3000030517578,42355600,20525900,106605900
193.33920288085938,398.7724304199219,207.8300018310547,195.20798769039715,401.8135529594447,212.72999572753906,193.18015413797895,396.6822972921996,206.77000427246094,194.25371040083746,397.7620381791371,211.8800048828125,53631300,24867000,123369900
193.0111846923828,401.06072998046875,182.6300048828125,195.0986578845498,403.18061005906736,193.0,191.95751323703675,398.74274976275865,180.05999755859375,194.0549212884663,400.5159168098495,189.6999969482422,54822100,21021200,198076800
191.27162170410156,400.12957763671875,183.25,193.59765277461963,402.3485229332517,186.77999877929688,190.79449062577763,398.64369053415635,182.10000610351562,193.11058683739938,400.5654402719064,185.5,44594000,17803300,107343200
190.5857391357422,405.86505126953125,190.92999267578125,191.05293535979936,406.12261467024774,191.47999572753906,188.44857653714126,400.5257498805,183.6699981689453,190.8640668648328,402.2394836390935,185.6300048828125,47145600,24510200,125013100
186.9177703857422,404.7457275390625,191.58999633789062,190.6553404086777,409.16375662074074,196.36000061035156,186.35118003362723,402.6258777098208,190.61000061035156,189.80047228297695,408.3812111979871,195.3300018310547,55859400,33477600,109982300
183.2994842529297,393.83929443359375,187.2899932861328,185.98338263365994,411.41240548584386,193.97000122070312,183.24979478995033,393.47278047208044,185.85000610351562,185.92372797618197,403.1310461052013,187.0,55467800,47871100,103221400
